user_id,total_orders,total_spend,avg_order_value,last_purchase,first_purchase,unique_products,total_quantity,recency_days,customer_age_days,purchase_rate,total_views,total_carts,avg_time_spent,unique_viewed,cart_rate,fav_category,fav_cat_orders,will_buy,cluster,segment_name,segment_id
101,6,864645.26,144107.5433333333,2025-01-12,2024-02-08,6,21,170,509,0.0117878192534381,31,9,308.4193548387097,28,0.2903225806451613,Beauty,2,0,3,Loyal,3
102,10,1052852.31,105285.231,2025-04-26,2024-03-18,8,33,66,470,0.0212765957446808,27,11,334.81481481481484,24,0.4074074074074074,Fashion,4,0,1,High Value,1
103,8,1273120.46,159140.0575,2025-05-12,2024-06-14,8,26,50,382,0.0209424083769633,25,9,325.0,19,0.36,Fashion,2,0,3,Loyal,3
104,4,154852.03,38713.0075,2025-03-01,2024-05-20,4,9,122,407,0.0098280098280098,47,19,308.3191489361702,38,0.4042553191489361,Toys,2,0,2,New Customer,2
105,6,405744.2,67624.03333333334,2025-04-11,2024-04-02,5,17,81,455,0.0131868131868131,34,12,317.44117647058823,30,0.3529411764705882,Fashion,3,0,2,New Customer,2
106,5,537915.4,107583.08,2025-04-10,2024-01-28,5,17,82,520,0.0096153846153846,33,14,278.6060606060606,29,0.4242424242424242,Fashion,2,0,2,New Customer,2
107,5,231703.87,46340.774,2025-05-25,2024-05-19,4,14,37,408,0.0122549019607843,39,11,338.0,30,0.282051282051282,Books,3,0,2,New Customer,2
108,7,445485.14,63640.73428571429,2025-06-25,2024-01-06,7,14,6,542,0.0129151291512915,36,12,255.61111111111111,31,0.3333333333333333,Beauty,3,1,2,New Customer,2
109,7,878657.74,125522.53428571428,2025-02-25,2024-01-07,7,22,126,541,0.0129390018484288,32,14,315.09375,28,0.4375,Grocery,2,0,3,Loyal,3
110,6,704373.6799999999,117395.61333333331,2025-05-19,2024-01-01,6,15,43,547,0.0109689213893967,28,9,342.25,26,0.3214285714285714,Sports,2,0,2,New Customer,2
111,1,228458.6,228458.6,2024-09-05,2024-09-05,1,5,299,299,0.0033444816053511,38,14,239.8947368421053,33,0.3684210526315789,Beauty,1,0,0,At Risk,0
112,14,2578550.15,184182.15357142856,2025-06-11,2024-04-13,14,48,20,444,0.0315315315315315,29,11,343.6551724137931,26,0.3793103448275862,Home,3,1,1,High Value,1
113,9,1183359.86,131484.42888888888,2025-06-17,2024-07-01,9,21,14,365,0.0246575342465753,27,6,294.0,22,0.2222222222222222,Sports,2,1,1,High Value,1
114,5,418148.18,83629.636,2025-05-14,2024-01-22,5,8,48,526,0.0095057034220532,32,12,288.75,27,0.375,Electronics,2,0,2,New Customer,2
115,8,1040171.82,130021.4775,2025-06-03,2024-03-21,8,22,28,467,0.0171306209850107,29,8,291.9655172413793,27,0.2758620689655172,Fashion,2,1,3,Loyal,3
116,6,1191048.32,198508.05333333332,2025-03-17,2024-01-06,6,24,106,542,0.011070110701107,32,11,344.90625,26,0.34375,Home,2,0,3,Loyal,3
117,6,513875.56000000006,85645.92666666668,2025-05-18,2024-01-27,6,16,44,521,0.0115163147792706,36,13,288.5833333333333,29,0.3611111111111111,Grocery,2,0,2,New Customer,2
118,5,1097796.54,219559.308,2025-05-13,2024-04-04,5,20,49,453,0.0110375275938189,24,11,313.7916666666667,21,0.4583333333333333,Fashion,3,0,3,Loyal,3
119,3,536726.59,178908.8633333333,2024-08-18,2024-01-04,3,11,317,544,0.0055147058823529,29,7,317.1034482758621,24,0.2413793103448276,Beauty,1,0,0,At Risk,0
120,10,1258608.55,125860.855,2025-05-18,2024-01-02,10,29,44,546,0.0183150183150183,21,5,280.42857142857144,21,0.238095238095238,Books,3,0,1,High Value,1
121,6,751550.22,125258.37,2025-03-25,2024-03-19,6,19,98,469,0.0127931769722814,22,6,286.77272727272725,19,0.2727272727272727,Sports,2,0,3,Loyal,3
122,11,1633489.66,148499.06,2025-06-14,2024-01-16,11,40,17,532,0.0206766917293233,31,13,290.741935483871,25,0.4193548387096774,Grocery,3,1,1,High Value,1
123,8,1144407.85,143050.98125,2025-03-04,2024-05-13,8,29,119,414,0.0193236714975845,29,8,333.1034482758621,24,0.2758620689655172,Toys,3,0,3,Loyal,3
124,10,958085.39,95808.539,2025-06-21,2024-02-03,10,28,10,514,0.0194552529182879,32,10,303.5625,29,0.3125,Sports,2,1,1,High Value,1
125,9,1259293.58,139921.5088888889,2025-06-26,2024-04-17,8,34,5,440,0.0204545454545454,30,14,314.1666666666667,27,0.4666666666666667,Electronics,3,1,1,High Value,1
126,6,893473.44,148912.24,2025-04-27,2024-08-13,6,20,65,322,0.0186335403726708,27,5,327.962962962963,27,0.1851851851851851,Toys,2,0,3,Loyal,3
127,6,1072467.94,178744.65666666665,2025-05-03,2024-06-30,6,21,59,366,0.0163934426229508,21,6,270.3809523809524,17,0.2857142857142857,Books,3,0,3,Loyal,3
128,12,1525474.26,127122.855,2025-05-12,2024-02-12,9,41,50,505,0.0237623762376237,29,9,298.2758620689655,26,0.3103448275862069,Toys,3,0,1,High Value,1
129,3,135289.18,45096.39333333333,2025-02-19,2024-05-06,3,5,132,421,0.007125890736342,34,9,325.7647058823529,30,0.2647058823529412,Beauty,2,0,0,At Risk,0
130,2,147618.54,73809.27,2024-10-13,2024-07-03,2,5,261,363,0.0055096418732782,27,7,292.44444444444446,25,0.2592592592592592,Books,1,0,0,At Risk,0
131,7,503552.78,71936.11142857143,2025-05-25,2024-04-02,7,19,37,455,0.0153846153846153,35,16,317.9428571428571,28,0.4571428571428571,Books,3,0,2,New Customer,2
132,6,580013.49,96668.915,2025-02-02,2024-02-24,6,18,149,493,0.0121703853955375,37,11,284.43243243243245,34,0.2972972972972973,Beauty,2,0,2,New Customer,2
133,5,586679.5,117335.9,2024-11-03,2024-01-17,5,18,240,531,0.0094161958568738,32,12,297.875,28,0.375,Sports,2,0,0,At Risk,0
134,12,1284790.97,107065.91416666668,2025-05-20,2024-01-12,11,31,42,536,0.0223880597014925,24,6,369.5416666666667,19,0.25,Fashion,5,0,1,High Value,1
135,8,1135950.68,141993.835,2025-06-03,2024-03-17,8,28,28,471,0.0169851380042462,34,9,253.4705882352941,30,0.2647058823529412,Books,2,1,3,Loyal,3
136,9,816019.0,90668.77777777778,2025-05-23,2024-03-24,8,22,39,464,0.0193965517241379,21,9,294.3809523809524,20,0.4285714285714285,Fashion,3,0,2,New Customer,2
137,5,449829.85,89965.97,2025-03-08,2024-07-16,5,11,115,350,0.0142857142857142,21,5,264.7142857142857,20,0.238095238095238,Grocery,2,0,2,New Customer,2
